year,make,manufacturer,model,drivetrain,vehicle_class,engine_size,cylinders,transmission,trans_type,num_gears,fuel_type,city,hwy,comb,comb_mpg,co2
2018,Nissan,Renault-Nissan,Titan 4WD Pro-4X,4WD,PICKUP TRUCK - STANDARD,5.6,8,AS7,A,7,X,15.9,11.9,14.1,20,331
2015,FORD,Ford,TAURUS FFV,2WD,FULL-SIZE,3.5,6,AS6,A,6,E,17.4,11.3,14.7,19,235
2016,FORD,Ford,TAURUS FFV,2WD,FULL-SIZE,3.5,6,AS6,A,6,X,13.1,8.7,11.1,25,260
2016,FORD,Ford,TAURUS FFV,2WD,FULL-SIZE,3.5,6,AS6,A,6,E,17.6,11.6,14.9,19,248
2017,FORD,Ford,TAURUS FFV,2WD,FULL-SIZE,3.5,6,AS6,A,6,X,13.1,8.7,11.1,25,260
2017,FORD,Ford,TAURUS FFV,2WD,FULL-SIZE,3.5,6,AS6,A,6,E,17.6,11.7,15,19,249
2018,Ford,Ford,Taurus FFV,2WD,FULL-SIZE,3.5,6,AS6,A,6,X,13.1,8.7,11.1,25,260
2018,Ford,Ford,Taurus FFV,2WD,FULL-SIZE,3.5,6,AS6,A,6,E,17.6,11.7,15,19,249
2019,Ford,Ford,Taurus FFV,2WD,FULL-SIZE,3.5,6,AS6,A,6,X,13.5,9,11.5,25,270
2019,Ford,Ford,Taurus FFV,2WD,FULL-SIZE,3.5,6,AS6,A,6,E,17.8,12.1,15.2,19,254
2011,SCION,Toyota,tC,2WD,COMPACT,2.5,4,AS6,A,6,X,10.2,7.5,9,31,207
2011,SCION,Toyota,tC,2WD,COMPACT,2.5,4,M6,M,6,X,10.5,7.6,9.2,31,212
2012,SCION,Toyota,tC,2WD,COMPACT,2.5,4,AS6,A,6,X,10.2,7.5,9,31,207
2012,SCION,Toyota,tC,2WD,COMPACT,2.5,4,M6,M,6,X,10.5,7.6,9.2,31,212
2013,SCION,Toyota,tC,2WD,COMPACT,2.5,4,AS6,A,6,X,10.2,7.5,9,31,207
2018,Porsche,VW,911 Carrera 4,AWD,MINICOMPACT,3,6,AM7,A,7,Z,10.7,8.3,9.6,29,225
2018,Porsche,VW,911 Carrera 4,AWD,MINICOMPACT,3,6,M7,M,7,Z,12.1,8.3,10.4,27,242
2018,Porsche,VW,911 Carrera 4 Cabriolet,AWD,MINICOMPACT,3,6,AM7,A,7,Z,11,8.4,9.8,29,230
2018,Porsche,VW,911 Carrera 4 Cabriolet,AWD,MINICOMPACT,3,6,M7,M,7,Z,12.2,8.5,10.5,27,246
2018,Porsche,VW,911 Carrera 4 GTS,AWD,MINICOMPACT,3,6,AM7,A,7,Z,11.8,9.2,10.6,27,248
2018,Porsche,VW,911 Carrera 4 GTS,AWD,MINICOMPACT,3,6,M7,M,7,Z,12.8,8.9,11,26,257
2018,Porsche,VW,911 Carrera 4 GTS Cabriolet,AWD,MINICOMPACT,3,6,AM7,A,7,Z,11.9,9.3,10.7,26,250
2018,Porsche,VW,911 Carrera 4 GTS Cabriolet,AWD,MINICOMPACT,3,6,M7,M,7,Z,12.9,9.1,11.1,25,260
2018,Porsche,VW,911 Carrera 4S,AWD,MINICOMPACT,3,6,AM7,A,7,Z,11,8.5,9.9,29,232
2018,Porsche,VW,911 Carrera 4S,AWD,MINICOMPACT,3,6,M7,M,7,Z,12.1,8.4,10.4,27,243
2018,Porsche,VW,911 Carrera 4S Cabriolet,AWD,MINICOMPACT,3,6,AM7,A,7,Z,10.9,8.5,9.9,29,231
2018,Porsche,VW,911 Carrera 4S Cabriolet,AWD,MINICOMPACT,3,6,M7,M,7,Z,12.2,8.5,10.5,27,246
2013,SCION,Toyota,tC,2WD,COMPACT,2.5,4,M6,M,6,X,10.4,7.6,9.2,31,212
2014,SCION,Toyota,tC,2WD,COMPACT,2.5,4,AS6,A,6,X,10.2,7.5,9,31,207
2018,Porsche,VW,911 Targa 4,AWD,MINICOMPACT,3,6,AM7,A,7,Z,10.9,8.4,9.8,29,228
2018,Porsche,VW,911 Targa 4,AWD,MINICOMPACT,3,6,M7,M,7,Z,12.2,8.5,10.5,27,246
2018,Porsche,VW,911 Targa 4 GTS,AWD,MINICOMPACT,3,6,AM7,A,7,Z,12.1,9.2,10.8,26,251
2018,Porsche,VW,911 Targa 4 GTS,AWD,MINICOMPACT,3,6,M7,M,7,Z,13.2,9.2,11.4,25,266
2018,Porsche,VW,911 Targa 4S,AWD,MINICOMPACT,3,6,AM7,A,7,Z,11.1,8.6,10,28,233
2018,Porsche,VW,911 Targa 4S,AWD,MINICOMPACT,3,6,M7,M,7,Z,12.2,8.5,10.5,27,246
2014,SCION,Toyota,tC,2WD,COMPACT,2.5,4,M6,M,6,X,10.2,7.6,9,31,207
2015,SCION,Toyota,tC,2WD,COMPACT,2.5,4,AS6,A,6,X,10.2,7.6,9,31,207
2015,SCION,Toyota,tC,2WD,COMPACT,2.5,4,M6,M,6,X,10.2,7.7,9,31,207
2016,SCION,Toyota,tC,2WD,COMPACT,2.5,4,AS6,A,6,X,10.2,7.6,9,31,211
2016,SCION,Toyota,tC,2WD,COMPACT,2.5,4,M6,M,6,X,10.2,7.7,9,31,210
2010,GMC,GM,TERRAIN,2WD,SUV - SMALL,2.4,4,A6,A,6,X,10.5,7.3,9.1,31,209
2010,GMC,GM,TERRAIN,2WD,SUV - SMALL,3,6,A6,A,6,X,13.9,9.5,11.9,24,274
2011,GMC,GM,TERRAIN,2WD,SUV - SMALL,2.4,4,A6,A,6,X,10.5,7.3,9.1,31,209
2011,GMC,GM,TERRAIN,2WD,SUV - SMALL,3,6,A6,A,6,X,13.9,9.6,12,24,276
2011,GMC,GM,TERRAIN,2WD,SUV - SMALL,3,6,A6,A,6,E,18.8,13.1,16.3,17,261
2012,GMC,GM,TERRAIN,2WD,SUV - SMALL,2.4,4,A6,A,6,X,10.5,7.3,9.1,31,209
2012,GMC,GM,TERRAIN,2WD,SUV - SMALL,2.4,4,A6,A,6,E,15.2,10.6,13.2,21,211
2012,GMC,GM,TERRAIN,2WD,SUV - SMALL,3,6,A6,A,6,X,13.9,9.6,12,24,276
2012,GMC,GM,TERRAIN,2WD,SUV - SMALL,3,6,A6,A,6,E,18.8,13.1,16.3,17,261
2013,GMC,GM,TERRAIN,2WD,SUV - SMALL,2.4,4,A6,A,6,X,10.5,7.3,9.1,31,209
2013,GMC,GM,TERRAIN,2WD,SUV - SMALL,3.6,6,A6,A,6,X,13.9,9.6,12,24,276
2013,GMC,GM,TERRAIN,2WD,SUV - SMALL,3.6,6,A6,A,6,E,18.8,13.1,16.3,17,261
2014,GMC,GM,TERRAIN,2WD,SUV - SMALL,2.4,4,A6,A,6,X,10.5,7.3,9.1,31,209
2014,GMC,GM,TERRAIN,2WD,SUV - SMALL,3.6,6,A6,A,6,X,13.9,9.6,12,24,276
2014,GMC,GM,TERRAIN,2WD,SUV - SMALL,3.6,6,A6,A,6,E,18.8,13.1,16.2,17,259
2015,GMC,GM,TERRAIN,2WD,SUV - SMALL,2.4,4,A6,A,6,X,10.5,7.3,9.1,31,209
2015,GMC,GM,TERRAIN,2WD,SUV - SMALL,3.6,6,A6,A,6,X,14.2,9.5,12.1,23,278
2016,GMC,GM,TERRAIN,2WD,SUV - SMALL,2.4,4,A6,A,6,X,10.5,7.3,9.1,31,214
2016,GMC,GM,TERRAIN,2WD,SUV - SMALL,3.6,6,A6,A,6,X,14.2,9.5,12.1,23,285
2017,GMC,GM,TERRAIN,2WD,SUV - SMALL,2.4,4,A6,A,6,X,11,7.5,9.4,30,221
2017,GMC,GM,TERRAIN,2WD,SUV - SMALL,3.6,6,A6,A,6,X,14.1,9.7,12.1,23,285
2018,GMC,GM,Terrain,2WD,SUV - SMALL,1.5,4,A9,A,9,X,9.2,7.9,8.6,33,201
2018,GMC,GM,Terrain,2WD,SUV - SMALL,1.6,4,A6,A,6,D,8.5,6,7.4,38,198
2019,GMC,GM,Terrain,2WD,SUV - SMALL,1.5,4,A9,A,9,X,9.2,7.9,8.6,33,201
2018,Porsche,VW,Panamera 4,AWD,FULL-SIZE,3,6,AM8,A,8,Z,11.3,8.6,10.1,28,235
2018,Porsche,VW,Panamera 4 Executive,AWD,FULL-SIZE,3,6,AM8,A,8,Z,11.3,8.6,10.1,28,235
2018,Porsche,VW,Panamera 4 ST,AWD,FULL-SIZE,3,6,AM8,A,8,Z,11.5,9,10.4,27,242
2018,Porsche,VW,Panamera 4S,AWD,FULL-SIZE,2.9,6,AM8,A,8,Z,11.3,8.5,10.1,28,235
2018,Porsche,VW,Panamera 4S Executive,AWD,FULL-SIZE,2.9,6,AM8,A,8,Z,11.3,8.5,10.1,28,235
2018,Porsche,VW,Panamera 4S ST,AWD,FULL-SIZE,2.9,6,AM8,A,8,Z,12.1,9,10.7,26,249
2019,GMC,GM,Terrain,2WD,SUV - SMALL,1.6,4,A6,A,6,D,8.5,6,7.4,38,199
2015,GMC,GM,TERRAIN FFV,2WD,SUV - SMALL,2.4,4,A6,A,6,X,10.5,7.3,9.1,31,209
2015,GMC,GM,TERRAIN FFV,2WD,SUV - SMALL,2.4,4,A6,A,6,E,15.6,10.8,13.4,21,214
2016,GMC,GM,TERRAIN FFV,2WD,SUV - SMALL,2.4,4,A6,A,6,X,10.5,7.3,9.1,31,214
2016,GMC,GM,TERRAIN FFV,2WD,SUV - SMALL,2.4,4,A6,A,6,E,15.6,10.8,13.4,21,221
2017,GMC,GM,TERRAIN FFV,2WD,SUV - SMALL,2.4,4,A6,A,6,X,11,7.5,9.4,30,221
2017,GMC,GM,TERRAIN FFV,2WD,SUV - SMALL,2.4,4,A6,A,6,E,15.6,11,13.6,21,223
2010,VOLKSWAGEN,VW,TIGUAN,2WD,SUV - SMALL,2,4,AS6,A,6,Z,12.9,9.6,11.4,25,262
2018,Ram,FCA,1500 4X4 FFV,4WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,X,14.5,10.2,12.6,22,294
2018,Ram,FCA,1500 4X4 FFV,4WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,E,20.7,14.7,18,16,300
2018,Ram,FCA,1500 4X4,4WD,PICKUP TRUCK - STANDARD,5.7,8,A6,A,6,X,18.7,13.3,16.3,17,382
2018,Ram,FCA,1500 4X4,4WD,PICKUP TRUCK - STANDARD,5.7,8,A8,A,8,X,16.1,11.5,14,20,328
2018,Ram,FCA,1500 4X4 EcoDiesel,4WD,PICKUP TRUCK - STANDARD,3,6,A8,A,8,D,12.3,8.8,10.8,26,289
2010,VOLKSWAGEN,VW,TIGUAN,2WD,SUV - SMALL,2,4,M6,M,6,Z,12.7,9,11,26,253
2011,VOLKSWAGEN,VW,TIGUAN,2WD,SUV - SMALL,2,4,AS6,A,6,Z,12.1,9.5,10.9,26,251
2011,VOLKSWAGEN,VW,TIGUAN,2WD,SUV - SMALL,2,4,M6,M,6,Z,13.5,9.1,11.5,25,265
2012,VOLKSWAGEN,VW,TIGUAN,2WD,SUV - SMALL,2,4,AS6,A,6,Z,11.1,9,10.1,28,232
2012,VOLKSWAGEN,VW,TIGUAN,2WD,SUV - SMALL,2,4,M6,M,6,Z,13.5,9.1,11.5,25,265
2013,VOLKSWAGEN,VW,TIGUAN,2WD,SUV - SMALL,2,4,AM6,A,6,Z,11,8.8,10,28,230
2013,VOLKSWAGEN,VW,TIGUAN,2WD,SUV - SMALL,2,4,M6,M,6,Z,13.5,9.1,11.5,25,265
2014,VOLKSWAGEN,VW,TIGUAN,2WD,SUV - SMALL,2,4,A6,A,6,Z,11.7,9.5,10.7,26,246
2014,VOLKSWAGEN,VW,TIGUAN,2WD,SUV - SMALL,2,4,M6,M,6,Z,13.6,9.2,11.6,24,267
2015,VOLKSWAGEN,VW,TIGUAN,2WD,SUV - SMALL,2,4,AS6,A,6,Z,11.5,9.3,10.5,27,242
2018,Subaru,SUBARU,Crosstrek AWD,AWD,SUV - SMALL,2,4,AV7,AV,V,X,8.8,7.2,8.1,35,188
2018,Subaru,SUBARU,Crosstrek AWD,AWD,SUV - SMALL,2,4,M6,M,6,X,10.5,8.1,9.4,30,220
2018,Subaru,SUBARU,Forester AWD,AWD,SUV - SMALL,2,4,AV8,AV,V,Z,10.2,8.6,9.5,30,223
2018,Subaru,SUBARU,Forester AWD,AWD,SUV - SMALL,2.5,4,AV6,AV,V,X,9.2,7.4,8.4,34,196
2018,Subaru,SUBARU,Forester AWD,AWD,SUV - SMALL,2.5,4,M6,M,6,X,10.9,8.3,9.7,29,228
2018,Subaru,SUBARU,Impreza 4-Door AWD,AWD,MID-SIZE,2,4,AV7,AV,V,X,8.3,6.4,7.5,38,174
2018,Subaru,SUBARU,Impreza 4-Door AWD,AWD,MID-SIZE,2,4,M5,M,5,X,10,7.5,8.9,32,208
2018,Subaru,SUBARU,Impreza 5-Door AWD,AWD,STATION WAGON - SMALL,2,4,AV7,AV,V,X,8.4,6.5,7.5,38,176
2018,Subaru,SUBARU,Impreza 5-Door AWD,AWD,STATION WAGON - SMALL,2,4,M5,M,5,X,10.1,7.7,9,31,211
2018,Subaru,SUBARU,Legacy AWD,AWD,MID-SIZE,2.5,4,AV7,AV,V,X,9.3,7,8.3,34,193
2018,Subaru,SUBARU,Legacy AWD,AWD,MID-SIZE,3.6,6,AV6,AV,V,X,11.9,8.3,10.3,27,241
2018,Subaru,SUBARU,Outback AWD,AWD,SUV - SMALL,2.5,4,AV7,AV,V,X,9.4,7.3,8.5,33,198
2018,Subaru,SUBARU,Outback AWD,AWD,SUV - SMALL,3.6,6,AV6,AV,V,X,12,8.7,10.5,27,247
2018,Subaru,SUBARU,WRX AWD,AWD,COMPACT,2,4,AV8,AV,V,Z,12.6,9.6,11.2,25,256
2018,Subaru,SUBARU,WRX AWD,AWD,COMPACT,2,4,M6,M,6,Z,11.3,8.5,10,28,235
2018,Subaru,SUBARU,WRX STI AWD,AWD,COMPACT,2.5,4,M6,M,6,Z,14.1,10.5,12.5,23,291
2018,Subaru,SUBARU,WRX STI AWD Type RA,AWD,COMPACT,2.5,4,M6,M,6,Z,14.3,10.9,12.8,22,296
2018,Toyota,Toyota,4Runner 4WD,4WD,SUV - STANDARD,4,6,AS5,A,5,X,14.3,11.9,13.2,21,308
